Order Date,Sale Price,Predicted Price,Lower Predicted CI,Upper Predicted CI
2020-01-13,291.77142857142854,,,
2020-01-14,287.96875,,,
2020-01-15,287.03225806451616,,,
2020-01-16,289.8285714285714,,,
2020-01-17,289.5925925925926,,,
2020-01-18,296.5,,,
2020-01-19,288.6666666666667,,,
2020-01-20,279.1565217391304,,,
2020-01-21,285.38235294117646,,,
2020-01-22,286.7037037037037,,,
2020-01-23,284.17241379310343,,,
2020-01-24,288.22222222222223,,,
2020-01-25,291.5263157894737,,,
2020-01-26,290.5833333333333,,,
2020-01-27,287.15625,,,
2020-01-28,294.05263157894734,,,
2020-01-29,291.4583333333333,,,
2020-01-30,295.0344827586207,,,
2020-01-31,291.23809523809524,,,
2020-02-01,299.9655172413793,,,
2020-02-02,293.3333333333333,,,
2020-02-03,300.0,,,
2020-02-04,290.6521739130435,,,
2020-02-05,296.7368421052632,,,
2020-02-06,296.25,,,
2020-02-07,292.57142857142856,,,
2020-02-08,296.6,,,
2020-02-09,310.1333333333333,,,
2020-02-10,291.44444444444446,,,
2020-02-11,292.22222222222223,,,
2020-02-12,291.93333333333334,,,
2020-02-13,294.1818181818182,,,
2020-02-14,302.5882352941176,,,
2020-02-15,293.42857142857144,,,
2020-02-16,299.2608695652174,,,
2020-02-17,304.625,,,
2020-02-18,298.7647058823529,,,
2020-02-19,294.64,,,
2020-02-20,296.0,,,
2020-02-21,300.7368421052632,,,
2020-02-22,303.25714285714287,,,
2020-02-23,300.89285714285717,,,
2020-02-24,301.4761904761905,,,
2020-02-25,309.0,,,
2020-02-26,309.0,,,
2020-02-27,295.4642857142857,,,
2020-02-28,292.1034482758621,,,
2020-02-29,303.8888888888889,,,
2020-03-01,304.73333333333335,,,
2020-03-02,295.90909090909093,,,
2020-03-03,303.64285714285717,,,
2020-03-04,302.6111111111111,,,
2020-03-05,306.2307692307692,,,
2020-03-06,303.77272727272725,,,
2020-03-07,319.90909090909093,,,
2020-03-08,336.8888888888889,,,
2020-03-09,312.39130434782606,,,
2020-03-10,293.6,,,
2020-03-11,319.8,,,
2020-03-12,292.875,,,
2020-03-13,298.8888888888889,,,
2020-03-14,307.94117647058823,,,
2020-03-15,297.8888888888889,,,
2020-03-16,299.2,,,
2020-03-17,291.8,,,
2020-03-18,295.7647058823529,,,
2020-03-19,287.2631578947368,,,
2020-03-20,292.7142857142857,,,
2020-03-21,296.53846153846155,,,
2020-03-22,290.0833333333333,,,
2020-03-23,287.625,,,
2020-03-24,289.8181818181818,,,
2020-03-25,307.72727272727275,,,
2020-03-26,280.8666666666667,,,
2020-03-27,292.94444444444446,,,
2020-03-28,304.0,,,
2020-03-29,299.125,,,
2020-03-30,292.09090909090907,,,
2020-03-31,290.8181818181818,,,
2020-04-01,296.0,,,
2020-04-02,290.1666666666667,,,
2020-04-03,295.55555555555554,,,
2020-04-04,310.42857142857144,,,
2020-04-05,300.3333333333333,,,
2020-04-06,295.3333333333333,,,
2020-04-07,297.22222222222223,,,
2020-04-08,300.5,,,
2020-04-09,314.84615384615387,,,
2020-04-10,294.9166666666667,,,
2020-04-11,310.5,,,
2020-04-12,327.8181818181818,,,
2020-04-13,296.25,,,
2020-04-14,280.1475409836066,,,
2020-04-15,279.02777777777777,,,
2020-04-16,289.0689655172414,,,
2020-04-17,291.625,,,
2020-04-18,300.7142857142857,,,
2020-04-19,297.7,,,
2020-04-20,302.0,,,
2020-04-21,294.26666666666665,,,
2020-04-22,308.1666666666667,,,
2020-04-23,301.77777777777777,,,
2020-04-24,312.09090909090907,,,
2020-04-25,296.72727272727275,,,
2020-04-26,303.90909090909093,,,
2020-04-27,302.2,,,
2020-04-28,297.2307692307692,,,
2020-04-29,304.0,,,
2020-04-30,325.125,,,
2020-05-01,321.9230769230769,,,
2020-05-02,311.5,,,
2020-05-03,313.0,,,
2020-05-04,303.09090909090907,,,
2020-05-05,306.0,,,
2020-05-06,308.52941176470586,,,
2020-05-07,319.73333333333335,,,
2020-05-08,324.07142857142856,,,
2020-05-09,323.75,,,
2020-05-10,311.6666666666667,,,
2020-05-11,322.53333333333336,319.4460958092166,291.9053113991253,346.9868802193079
2020-05-12,317.0769230769231,337.05097298301496,309.51018857293445,364.59175739309546
2020-05-13,331.6666666666667,333.84769246513645,301.14442431612997,366.5509606141429
2020-05-14,328.53846153846155,330.6408883753072,294.0966400074199,367.1851367431945
2020-05-15,316.8888888888889,327.6057940079759,287.6596198416538,367.55196817429794
2020-05-16,316.5,329.3863576855187,286.3149697556411,372.45774561539633
2020-05-17,332.61538461538464,327.73026058483424,281.7466827146525,373.713838455016
2020-05-18,316.375,334.08134892518643,285.35947844778957,382.8032194025833
2020-05-19,322.875,332.24102803294704,280.9267994907649,383.5552565751292
2020-05-20,330.53846153846155,337.9753452426062,284.1935714490627,391.7571190361497
2020-05-21,331.1,336.9725968622247,280.83162874749735,393.11356497695203
2020-05-22,331.84615384615387,328.382173005251,269.97722967923403,386.78711633126795
2020-05-23,328.55555555555554,337.2370648131052,276.65268969559344,397.8214399306169
2020-05-24,336.2,354.99881169652326,287.33918091664253,422.658442476404
2020-05-25,330.2,351.79619766023023,279.63766831540806,423.9547270050524
2020-05-26,333.5,345.04632014048036,268.8724051934597,421.220235087501
2020-05-27,338.2307692307692,344.23788387302585,264.27744854575826,424.19831920029344
2020-05-28,350.4,340.27901591765914,256.7069615950974,423.85107024022085
2020-05-29,341.55555555555554,340.8643524093277,253.8308734031268,427.8978314155286
